,mlod.name,sample.name,site,community,type,samplings,period,season,year,ssnyear,EC,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,Pb,pollution_index,pollution_index_selected_analytes,pli_contaminants
1,IW.1.2.DM,T142IWA12-20180227,T142,Tucson,A,Last Winter,Last,Winter,Water Year 1,Winter Water Year 1,51.45,0.149247872,1.268303594,0.935599563,0.48406525,1.806265086,4.433073229,2.201565599,10.82862809,183.0632803,47.4559869,2.181559048,0.020734649,3.609622662,1.249794557,4.593909394,9.176172653,2.3051311,4.616474239,864.7159117,3.380769877,3.951438052,6.302202272
2,IW.2.6.DM,T013IWA24-20190917,T013,Tucson,A,Last Monsoon,Last,Monsoon,Water Year 2,Monsoon Water Year 2,208.3,0.292141663,0.511381258,3.526777621,0.774130122,5.637306511,19.68650327,5.945249517,11.3422161,35.9340502,115.1404422,2.946401057,0.342910402,22.31276718,0.331045613,4.715024112,4.771833067,2.945763068,7.643366037,652.3642029,5.130745007,6.042220814,7.044285528
3,IW.1.7.DM,T187IWA14-20180911,T187,Tucson,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,17.24,0.14608909,0.324200103,0.549496873,0.488015954,0.656668878,0.101176112,0.624174519,1.86853705,4.175830517,7.229654611,0.838733525,0.028575867,6.709776607,0.029209907,2.191331397,22.52409408,0.969718509,3.910818483,186.2522022,1.086841042,1.096546571,1.897212065
4,"IW.3.4,5,6.DM",T024IWA32-20200218,T024,Tucson,A,Last Winter,Last,Winter,Water Year 3,Winter Water Year 3,96.59,0.730354158,5.494420772,3.075391866,0.83713346,2.633486253,5.853004394,4.490035104,5.450380618,241.9470324,56.18659387,2.998254753,0.182885548,5.049709999,0.389465428,1.461263148,6.994470851,1.933335761,8.828124913,128.7443964,4.337873467,5.421269552,7.326335427
5,IW.2.6.DM,G400IWA24-20190917,G400,Globe/Miami,A,Last Monsoon,Last,Monsoon,Water Year 2,Monsoon Water Year 2,21.3,1.322488791,0.847292383,3.716285028,1.363408867,4.069417335,1.292859359,5.643641846,7.625916343,34.57149513,25.358408,2.864916679,0.342910402,2.400145562,0.331045613,14.32251948,2.33335101,1.060474704,7.513376819,67.21178503,3.441052243,4.572387837,6.490592594
6,IW.1.2.DM,T142IWA11-20180109,T142,Tucson,A,First Winter,First,Winter,Water Year 1,Winter Water Year 1,42.27,2.492333564,2.441747917,5.660601186,3.466223245,0.950665835,2.517369488,3.482972202,22.52573927,36.65540288,27.04950796,10.02998625,0.842988071,10.01764332,1.743441986,7.424613834,2.612459983,4.964897753,5.355555795,62.64375408,5.472505774,6.282355664,8.194632605
7,IW.1.3.DM,H218IWA13-20180619,H218,Hayden/Winkelman,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,96.39,0.389278766,1.992825438,1.101232022,0.845450733,12.65236903,5.795244482,21.29997677,6.506409896,106.1991446,32.30081836,74.68784075,0.228835541,2.70762588,0.475147822,41.60149709,0.353724105,2.920976712,13.79371305,58.37202785,5.00117821,8.068785428,11.49575122
8,IW.2.6.DM,H225IWA24-20190910,H225,Hayden/Winkelman,A,Last Monsoon,Last,Monsoon,Water Year 2,Monsoon Water Year 2,475.3,0.847576,2.896525906,4.184830902,1.846850322,10.62759269,2.502929511,7.575975739,5.851440917,135.8547548,1.022751363,222.6005073,1.024387673,70.08261489,0.331045613,48.36138829,1.660698386,12.48469681,40.29665768,58.34733579,7.465882372,9.000168512,12.31903961
9,IW.1.2.DM,T162IWA11-20180116,T162,Tucson,A,First Winter,First,Winter,Water Year 1,Winter Water Year 1,64.71,0.750438897,3.899770054,5.623296578,3.503650971,9.445645468,3.350074883,10.30748476,4.584782849,10.67869135,8.949074426,9.378111222,0.789608352,30.97291761,0.919138409,3.622175034,1.398335952,4.223213719,9.225520523,54.81637133,4.996066058,5.178979009,6.39294107
10,IW.1.3.DM,H217IWA13-20180619,H217,Hayden/Winkelman,A,First Monsoon,First,Monsoon,Water Year 1,Monsoon Water Year 1,36.42,0.380149339,3.888059033,1.904773274,0.520245384,4.07083624,3.11422191,9.007334178,2.804536771,220.0125676,8.673967256,63.4652195,0.2703277,24.2754075,1.378707614,76.38677055,0.461367132,3.041095206,32.11476488,51.43355922,5.428558331,7.083033356,10.27072181
