,analyte,community,n,AI,DW,FB,LDW,PB,DW,LDW,FB,PB,AI
65,Ag,Dewey-Humboldt,53,NA,NA,0.0,NA,0.0,no recommended level,no recommended level,0.0%,0.0%,no recommended level
66,Ag,Globe/Miami,124,NA,NA,0.0,NA,0.0,no recommended level,no recommended level,0.0%,0.0%,no recommended level
67,Ag,Hayden/Winkelman,93,NA,NA,0.0,NA,0.0,no recommended level,no recommended level,0.0%,0.0%,no recommended level
68,Ag,Tucson,307,NA,NA,0.0,NA,0.0,no recommended level,no recommended level,0.0%,0.0%,no recommended level
,Ag,Total,577,NA,NA,0.0,NA,0.0,no recommended level,no recommended level,0.0%,0.0%,no recommended level
1,Al,Dewey-Humboldt,53,0.0,23,NA,0.0,NA,23%,0.0%,no recommended level,no recommended level,0.0%
2,Al,Globe/Miami,124,1.6,52,NA,1.6,NA,52%,1.6%,no recommended level,no recommended level,1.6%
3,Al,Hayden/Winkelman,93,0.0,34,NA,0.0,NA,34%,0.0%,no recommended level,no recommended level,0.0%
4,Al,Tucson,307,0.0,29,NA,0.0,NA,29%,0.0%,no recommended level,no recommended level,0.0%
,Al,Total,577,0.35,34,NA,0.35,NA,34%,0.35%,no recommended level,no recommended level,0.35%
5,As,Dewey-Humboldt,53,0.0,3.8,0.0,3.8,0.0,3.8%,3.8%,0.0%,0.0%,0.0%
6,As,Globe/Miami,124,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
7,As,Hayden/Winkelman,93,1.1,17,3.2,17,0.0,17%,17%,3.2%,0.0%,1.1%
8,As,Tucson,307,0.0,0.65,0.0,0.65,0.0,0.65%,0.65%,0.0%,0.0%,0.0%
,As,Total,577,0.17,3.5,0.52,3.5,0.0,3.5%,3.5%,0.52%,0.0%,0.17%
57,Ba,Dewey-Humboldt,53,NA,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,no recommended level
58,Ba,Globe/Miami,124,NA,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,no recommended level
59,Ba,Hayden/Winkelman,93,NA,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,no recommended level
60,Ba,Tucson,307,NA,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,no recommended level
,Ba,Total,577,NA,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,no recommended level
9,Be,Dewey-Humboldt,53,0.0,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,0.0%
10,Be,Globe/Miami,124,0.0,0.81,0.0,NA,0.0,0.81%,no recommended level,0.0%,0.0%,0.0%
11,Be,Hayden/Winkelman,93,0.0,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,0.0%
12,Be,Tucson,307,0.0,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,0.0%
,Be,Total,577,0.0,0.17,0.0,NA,0.0,0.17%,no recommended level,0.0%,0.0%,0.0%
13,Cd,Dewey-Humboldt,53,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
14,Cd,Globe/Miami,124,3.2,8.1,0.0,0.0,0.0,8.1%,0.0%,0.0%,0.0%,3.2%
15,Cd,Hayden/Winkelman,93,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
16,Cd,Tucson,307,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Cd,Total,577,0.69,1.7,0.0,0.0,0.0,1.7%,0.0%,0.0%,0.0%,0.69%
69,Co,Dewey-Humboldt,53,NA,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,no recommended level
70,Co,Globe/Miami,124,NA,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,no recommended level
71,Co,Hayden/Winkelman,93,NA,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,no recommended level
72,Co,Tucson,307,NA,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,no recommended level
,Co,Total,577,NA,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,no recommended level
17,Cr,Dewey-Humboldt,53,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
18,Cr,Globe/Miami,124,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
19,Cr,Hayden/Winkelman,93,1.1,1.1,0.0,0.0,0.0,1.1%,0.0%,0.0%,0.0%,1.1%
20,Cr,Tucson,307,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Cr,Total,577,0.17,0.17,0.0,0.0,0.0,0.17%,0.0%,0.0%,0.0%,0.17%
