"","analyte","community","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Ag","Dewey-Humboldt",53,0.0026,0.341,0.017,0.0263,0.0467,0.0169,2.27,"53: 0.0263 (0.0467); 0.017 [0.0026 - 0.341]; 0.0169 (2.27)"
"2","Ag","Globe/Miami",123,0.0015,0.873,0.017,0.0341,0.0813,0.0177,2.9,"123: 0.0341 (0.0813); 0.017 [0.0015 - 0.873]; 0.0177 (2.9)"
"3","Ag","Hayden/Winkelman",88,0.0018,0.818,0.0173,0.0507,0.11,0.0193,3.66,"88: 0.0507 (0.11); 0.0173 [0.0018 - 0.818]; 0.0193 (3.66)"
"4","Ag","Tucson",307,0.0012,1.15,0.017,0.041,0.121,0.0165,3.02,"307: 0.041 (0.121); 0.017 [0.0012 - 1.15]; 0.0165 (3.02)"
"5","Al","Dewey-Humboldt",53,11,634,27.2,63.2,106,36.2,2.43,"53: 63.2 (106); 27.2 [11 - 634]; 36.2 (2.43)"
"6","Al","Globe/Miami",123,13,5210,52.8,255,783,71.2,3.37,"123: 255 (783); 52.8 [13 - 5210]; 71.2 (3.37)"
"7","Al","Hayden/Winkelman",88,3.82,746,39,74.2,112,44,2.51,"88: 74.2 (112); 39 [3.82 - 746]; 44 (2.51)"
"8","Al","Tucson",307,1.54,943,31.7,53.2,77.2,36.2,2.17,"307: 53.2 (77.2); 31.7 [1.54 - 943]; 36.2 (2.17)"
"9","As","Dewey-Humboldt",53,0.154,14.1,0.99,1.71,2.63,1.02,2.56,"53: 1.71 (2.63); 0.99 [0.154 - 14.1]; 1.02 (2.56)"
"10","As","Globe/Miami",123,0.16,7.42,0.92,1.1,0.976,0.829,2.13,"123: 1.1 (0.976); 0.92 [0.16 - 7.42]; 0.829 (2.13)"
"11","As","Hayden/Winkelman",88,0.139,120,2.67,6.8,14.2,3.13,3.2,"88: 6.8 (14.2); 2.67 [0.139 - 120]; 3.13 (3.2)"
"12","As","Tucson",307,0.108,13.7,0.963,1.34,1.62,0.931,2.21,"307: 1.34 (1.62); 0.963 [0.108 - 13.7]; 0.931 (2.21)"
"13","Ba","Dewey-Humboldt",53,0.314,76.2,4.41,8.74,12.2,4.82,2.97,"53: 8.74 (12.2); 4.41 [0.314 - 76.2]; 4.82 (2.97)"
"14","Ba","Globe/Miami",123,0.412,138,11.5,16,17.3,10.5,2.58,"123: 16 (17.3); 11.5 [0.412 - 138]; 10.5 (2.58)"
"15","Ba","Hayden/Winkelman",88,0.226,204,18.1,30.9,39.7,16,3.61,"88: 30.9 (39.7); 18.1 [0.226 - 204]; 16 (3.61)"
"16","Ba","Tucson",307,0.119,86.1,10.3,14.7,13.7,10.1,2.64,"307: 14.7 (13.7); 10.3 [0.119 - 86.1]; 10.1 (2.64)"
"17","Be","Dewey-Humboldt",53,0.0016,0.124,0.0221,0.0309,0.0268,0.0194,2.96,"53: 0.0309 (0.0268); 0.0221 [0.0016 - 0.124]; 0.0194 (2.96)"
"18","Be","Globe/Miami",123,0.0025,1.69,0.04,0.107,0.268,0.0406,3.15,"123: 0.107 (0.268); 0.04 [0.0025 - 1.69]; 0.0406 (3.15)"
"19","Be","Hayden/Winkelman",88,0.00063,1.4,0.0212,0.0458,0.15,0.0196,3.23,"88: 0.0458 (0.15); 0.0212 [0.00063 - 1.4]; 0.0196 (3.23)"
"20","Be","Tucson",307,0.00063,0.511,0.018,0.028,0.0371,0.0176,2.78,"307: 0.028 (0.0371); 0.018 [0.00063 - 0.511]; 0.0176 (2.78)"
"21","Cd","Dewey-Humboldt",53,0.0061,1.38,0.0268,0.0731,0.196,0.031,2.85,"53: 0.0731 (0.196); 0.0268 [0.0061 - 1.38]; 0.031 (2.85)"
"22","Cd","Globe/Miami",123,0.0071,11.7,0.12,0.848,2.13,0.179,4.58,"123: 0.848 (2.13); 0.12 [0.0071 - 11.7]; 0.179 (4.58)"
"23","Cd","Hayden/Winkelman",88,0.00528,4.65,0.235,0.543,0.8,0.243,3.8,"88: 0.543 (0.8); 0.235 [0.00528 - 4.65]; 0.243 (3.8)"
"24","Cd","Tucson",307,0.00652,0.66,0.0533,0.0771,0.076,0.0561,2.18,"307: 0.0771 (0.076); 0.0533 [0.00652 - 0.66]; 0.0561 (2.18)"
"25","Co","Dewey-Humboldt",53,0.0045,2.18,0.0967,0.226,0.374,0.104,3.5,"53: 0.226 (0.374); 0.0967 [0.0045 - 2.18]; 0.104 (3.5)"
"26","Co","Globe/Miami",123,0.0059,11.2,0.165,0.833,1.94,0.225,4.39,"123: 0.833 (1.94); 0.165 [0.0059 - 11.2]; 0.225 (4.39)"
"27","Co","Hayden/Winkelman",88,0.0059,2.95,0.126,0.238,0.37,0.135,2.84,"88: 0.238 (0.37); 0.126 [0.0059 - 2.95]; 0.135 (2.84)"
"28","Co","Tucson",307,0.0045,3.56,0.0835,0.208,0.385,0.103,2.91,"307: 0.208 (0.385); 0.0835 [0.0045 - 3.56]; 0.103 (2.91)"
"29","Cr","Dewey-Humboldt",53,0.0732,86,0.409,2.35,11.8,0.477,3.41,"53: 2.35 (11.8); 0.409 [0.0732 - 86]; 0.477 (3.41)"
"30","Cr","Globe/Miami",123,0.011,10.6,0.305,0.737,1.38,0.331,3.43,"123: 0.737 (1.38); 0.305 [0.011 - 10.6]; 0.331 (3.43)"
"31","Cr","Hayden/Winkelman",88,0.057,171,0.331,2.67,18.2,0.381,3.39,"88: 2.67 (18.2); 0.331 [0.057 - 171]; 0.381 (3.39)"
"32","Cr","Tucson",307,0.011,52.4,0.344,1.12,4.27,0.386,3.05,"307: 1.12 (4.27); 0.344 [0.011 - 52.4]; 0.386 (3.05)"
"33","Cu","Dewey-Humboldt",53,0.238,133,7.46,15,23.8,6.58,3.88,"53: 15 (23.8); 7.46 [0.238 - 133]; 6.58 (3.88)"
"34","Cu","Globe/Miami",123,0.921,2740,24.1,98.5,302,30.1,3.81,"123: 98.5 (302); 24.1 [0.921 - 2740]; 30.1 (3.81)"
