"","analyte","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Ag","Winter",397,0.0018,1.15,0.0149,0.0366,0.101,0.0161,2.97,"397: 0.0366 (0.101); 0.0149 [0.0018 - 1.15]; 0.0161 (2.97)"
"2","Ag","Monsoon",174,0.0012,0.927,0.017,0.0467,0.119,0.02,3.08,"174: 0.0467 (0.119); 0.017 [0.0012 - 0.927]; 0.02 (3.08)"
"3","Al","Winter",397,1.54,4760,33.5,92.8,356,40.3,2.55,"397: 92.8 (356); 33.5 [1.54 - 4760]; 40.3 (2.55)"
"4","Al","Monsoon",174,10.3,5210,39.2,119,428,50.4,2.69,"174: 119 (428); 39.2 [10.3 - 5210]; 50.4 (2.69)"
"5","As","Winter",397,0.108,22,0.911,1.43,2.01,0.901,2.45,"397: 1.43 (2.01); 0.911 [0.108 - 22]; 0.901 (2.45)"
"6","As","Monsoon",174,0.34,120,1.38,3.83,10.4,1.75,2.68,"174: 3.83 (10.4); 1.38 [0.34 - 120]; 1.75 (2.68)"
"7","Ba","Winter",397,0.119,126,8.53,12.6,14.5,7.98,2.83,"397: 12.6 (14.5); 8.53 [0.119 - 126]; 7.98 (2.83)"
"8","Ba","Monsoon",174,0.556,204,18.9,26.8,29.9,18.1,2.46,"174: 26.8 (29.9); 18.9 [0.556 - 204]; 18.1 (2.46)"
"9","Be","Winter",397,0.00063,1.69,0.0329,0.049,0.15,0.0211,3.32,"397: 0.049 (0.15); 0.0329 [0.00063 - 1.69]; 0.0211 (3.32)"
"10","Be","Monsoon",174,0.0017,1.36,0.0186,0.0455,0.127,0.0229,2.57,"174: 0.0455 (0.127); 0.0186 [0.0017 - 1.36]; 0.0229 (2.57)"
"11","Cd","Winter",397,0.00528,11.7,0.0623,0.278,1.09,0.076,3.41,"397: 0.278 (1.09); 0.0623 [0.00528 - 11.7]; 0.076 (3.41)"
"12","Cd","Monsoon",174,0.011,10.1,0.0864,0.397,1.08,0.112,4.06,"174: 0.397 (1.08); 0.0864 [0.011 - 10.1]; 0.112 (4.06)"
"13","Co","Winter",397,0.0045,11.2,0.0747,0.257,0.964,0.0919,3.02,"397: 0.257 (0.964); 0.0747 [0.0045 - 11.2]; 0.0919 (3.02)"
"14","Co","Monsoon",174,0.023,7.9,0.245,0.559,1.02,0.265,3.17,"174: 0.559 (1.02); 0.245 [0.023 - 7.9]; 0.265 (3.17)"
"15","Cr","Winter",397,0.011,86,0.279,0.847,4.49,0.306,3.08,"397: 0.847 (4.49); 0.279 [0.011 - 86]; 0.306 (3.08)"
"16","Cr","Monsoon",174,0.071,171,0.524,2.62,14,0.623,3.07,"174: 2.62 (14); 0.524 [0.071 - 171]; 0.623 (3.07)"
"17","Cu","Winter",397,0.224,3160,18.5,59.2,202,19.4,4.04,"397: 59.2 (202); 18.5 [0.224 - 3160]; 19.4 (4.04)"
"18","Cu","Monsoon",174,1.09,2740,26.4,83.2,233,30.4,3.65,"174: 83.2 (233); 26.4 [1.09 - 2740]; 30.4 (3.65)"
"19","Fe","Winter",397,1.7,889,32.9,53.7,76,34.1,2.47,"397: 53.7 (76); 32.9 [1.7 - 889]; 34.1 (2.47)"
"20","Fe","Monsoon",174,3.13,1640,54.2,132,235,58.8,3.33,"174: 132 (235); 54.2 [3.13 - 1640]; 58.8 (3.33)"
"21","Mn","Winter",397,0.0668,612,3.4,13.1,45.3,3.61,4.23,"397: 13.1 (45.3); 3.4 [0.0668 - 612]; 3.61 (4.23)"
"22","Mn","Monsoon",174,0.231,471,21.3,51.8,79.4,18,5.1,"174: 51.8 (79.4); 21.3 [0.231 - 471]; 18 (5.1)"
"23","Mo","Winter",397,0.0078,20.2,1.39,1.96,2.5,1.05,3.51,"397: 1.96 (2.5); 1.39 [0.0078 - 20.2]; 1.05 (3.51)"
"24","Mo","Monsoon",174,0.095,37.9,2.43,3.42,4.43,1.86,3.27,"174: 3.42 (4.43); 2.43 [0.095 - 37.9]; 1.86 (3.27)"
"25","Ni","Winter",397,0.0571,466,0.548,3.04,26.1,0.648,2.85,"397: 3.04 (26.1); 0.548 [0.0571 - 466]; 0.648 (2.85)"
"26","Ni","Monsoon",174,0.175,68.8,1.35,2.68,5.81,1.52,2.49,"174: 2.68 (5.81); 1.35 [0.175 - 68.8]; 1.52 (2.49)"
"27","Pb","Winter",397,0.013,350,0.572,2.49,17.9,0.606,3.9,"397: 2.49 (17.9); 0.572 [0.013 - 350]; 0.606 (3.9)"
"28","Pb","Monsoon",174,0.0142,264,0.882,4.74,21.1,0.954,5.03,"174: 4.74 (21.1); 0.882 [0.0142 - 264]; 0.954 (5.03)"
"29","Sb","Winter",397,0.106,9.78,0.56,0.739,0.854,0.557,2,"397: 0.739 (0.854); 0.56 [0.106 - 9.78]; 0.557 (2)"
"30","Sb","Monsoon",174,0.196,13.4,0.626,1.1,1.62,0.735,2.16,"174: 1.1 (1.62); 0.626 [0.196 - 13.4]; 0.735 (2.16)"
"31","Se","Winter",397,0.16,11.6,1.3,1.65,1.48,1.23,2.21,"397: 1.65 (1.48); 1.3 [0.16 - 11.6]; 1.23 (2.21)"
"32","Se","Monsoon",174,0.19,12.6,2.95,2.6,2.04,1.79,2.63,"174: 2.6 (2.04); 2.95 [0.19 - 12.6]; 1.79 (2.63)"
"33","Sn","Winter",397,0.00092,80.7,0.0646,0.37,4.06,0.0754,3.37,"397: 0.37 (4.06); 0.0646 [0.00092 - 80.7]; 0.0754 (3.37)"
"34","Sn","Monsoon",174,0.0173,13.9,0.139,0.473,1.59,0.162,3.24,"174: 0.473 (1.59); 0.139 [0.0173 - 13.9]; 0.162 (3.24)"
"35","V","Winter",397,0.145,27,1.4,2.02,2.51,1.42,2.22,"397: 2.02 (2.51); 1.4 [0.145 - 27]; 1.42 (2.22)"
"36","V","Monsoon",174,0.465,29,2.95,3.81,3.31,2.8,2.25,"174: 3.81 (3.31); 2.95 [0.465 - 29]; 2.8 (2.25)"
"37","Zn","Winter",397,1.4,13300,81,314,985,89.9,4.24,"397: 314 (985); 81 [1.4 - 13300]; 89.9 (4.24)"
"38","Zn","Monsoon",174,5.74,12700,113,599,1680,125,5.06,"174: 599 (1680); 113 [5.74 - 12700]; 125 (5.06)"
