"","analyte","community","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al","Chiricahua",43,7.8,1230,27.4,68.4,186,32.1,2.58,"43: 68.4 (186); 27.4 [7.8 - 1230]; 32.1 (2.58)"
"2","Al","Grand Canyon",36,10.5,166,31,46.9,43.3,33.1,2.28,"36: 46.9 (43.3); 31 [10.5 - 166]; 33.1 (2.28)"
"3","Al","Oliver Knoll",32,11,410,31.7,68.8,91.4,41.4,2.52,"32: 68.8 (91.4); 31.7 [11 - 410]; 41.4 (2.52)"
"4","Al","Organ Pipe",25,7.8,335,28.9,58.9,86.4,32.1,2.72,"25: 58.9 (86.4); 28.9 [7.8 - 335]; 32.1 (2.72)"
"5","Al","Petrified Forest",26,9.79,1410,31,104,272,39.6,3.1,"26: 104 (272); 31 [9.79 - 1410]; 39.6 (3.1)"
"6","As","Chiricahua",43,0.066,1.8,0.2,0.387,0.36,0.266,2.43,"43: 0.387 (0.36); 0.2 [0.066 - 1.8]; 0.266 (2.43)"
"7","As","Grand Canyon",36,0.066,0.728,0.2,0.336,0.215,0.269,2,"36: 0.336 (0.215); 0.2 [0.066 - 0.728]; 0.269 (2)"
"8","As","Oliver Knoll",32,0.066,0.918,0.16,0.316,0.271,0.227,2.26,"32: 0.316 (0.271); 0.16 [0.066 - 0.918]; 0.227 (2.26)"
"9","As","Organ Pipe",25,0.066,0.904,0.2,0.399,0.299,0.297,2.22,"25: 0.399 (0.299); 0.2 [0.066 - 0.904]; 0.297 (2.22)"
"10","As","Petrified Forest",26,0.066,0.902,0.2,0.341,0.273,0.249,2.26,"26: 0.341 (0.273); 0.2 [0.066 - 0.902]; 0.249 (2.26)"
"11","Ba","Chiricahua",43,0.19,14,1.21,1.96,2.59,1.14,2.76,"43: 1.96 (2.59); 1.21 [0.19 - 14]; 1.14 (2.76)"
"12","Ba","Grand Canyon",36,0.228,6.97,1.32,1.94,1.61,1.39,2.33,"36: 1.94 (1.61); 1.32 [0.228 - 6.97]; 1.39 (2.33)"
"13","Ba","Oliver Knoll",32,0.28,8.24,1.42,2.21,2.19,1.43,2.6,"32: 2.21 (2.19); 1.42 [0.28 - 8.24]; 1.43 (2.6)"
"14","Ba","Organ Pipe",25,0.247,9.27,0.909,2.12,2.61,1.18,2.9,"25: 2.12 (2.61); 0.909 [0.247 - 9.27]; 1.18 (2.9)"
"15","Ba","Petrified Forest",26,0.383,68.2,1.41,4.78,13.1,1.79,3.17,"26: 4.78 (13.1); 1.41 [0.383 - 68.2]; 1.79 (3.17)"
"16","Be","Chiricahua",43,0.016,0.62,0.092,0.254,0.272,0.116,3.88,"43: 0.254 (0.272); 0.092 [0.016 - 0.62]; 0.116 (3.88)"
"17","Be","Grand Canyon",36,0.016,0.62,0.0981,0.286,0.271,0.152,3.54,"36: 0.286 (0.271); 0.0981 [0.016 - 0.62]; 0.152 (3.54)"
"18","Be","Oliver Knoll",32,0.016,0.62,0.0916,0.284,0.284,0.127,4.27,"32: 0.284 (0.284); 0.0916 [0.016 - 0.62]; 0.127 (4.27)"
