"","analyte","community","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al","Chiricahua","Monsoon",24,7.8,1230,34.8,100,246,42.8,2.87,"24: 100 (246); 34.8 [7.8 - 1230]; 42.8 (2.87)"
"2","Al","Chiricahua","Winter",19,9.38,82.9,17.5,27.8,21,22.3,1.91,"19: 27.8 (21); 17.5 [9.38 - 82.9]; 22.3 (1.91)"
"3","Al","Grand Canyon","Monsoon",16,19,141,36.6,53.9,39.1,42.8,1.99,"16: 53.9 (39.1); 36.6 [19 - 141]; 42.8 (1.99)"
"4","Al","Grand Canyon","Winter",20,10.5,166,19.5,41.4,46.7,26.9,2.42,"20: 41.4 (46.7); 19.5 [10.5 - 166]; 26.9 (2.42)"
"5","Al","Oliver Knoll","Monsoon",16,16.3,410,40.4,81.7,107,49.4,2.55,"16: 81.7 (107); 40.4 [16.3 - 410]; 49.4 (2.55)"
"6","Al","Oliver Knoll","Winter",16,11,303,27.1,55.8,73.9,34.7,2.47,"16: 55.8 (73.9); 27.1 [11 - 303]; 34.7 (2.47)"
"7","Al","Organ Pipe","Monsoon",12,7.8,335,41.6,95.1,114,50.1,3.3,"12: 95.1 (114); 41.6 [7.8 - 335]; 50.1 (3.3)"
"8","Al","Organ Pipe","Winter",13,11.6,91.4,18.1,25.6,21.2,21.3,1.75,"13: 25.6 (21.2); 18.1 [11.6 - 91.4]; 21.3 (1.75)"
"9","Al","Petrified Forest","Monsoon",12,27.3,1410,48.2,176,393,68,3.09,"12: 176 (393); 48.2 [27.3 - 1410]; 68 (3.09)"
"10","Al","Petrified Forest","Winter",14,9.79,212,16.6,42,56.5,24.9,2.56,"14: 42 (56.5); 16.6 [9.79 - 212]; 24.9 (2.56)"
"11","As","Chiricahua","Monsoon",24,0.066,0.751,0.16,0.223,0.183,0.171,2.08,"24: 0.223 (0.183); 0.16 [0.066 - 0.751]; 0.171 (2.08)"
"12","As","Chiricahua","Winter",19,0.16,1.8,0.61,0.594,0.422,0.463,2.12,"19: 0.594 (0.422); 0.61 [0.16 - 1.8]; 0.463 (2.12)"
"13","As","Grand Canyon","Monsoon",16,0.066,0.728,0.16,0.297,0.224,0.227,2.14,"16: 0.297 (0.224); 0.16 [0.066 - 0.728]; 0.227 (2.14)"
"14","As","Grand Canyon","Winter",20,0.16,0.61,0.325,0.367,0.207,0.309,1.86,"20: 0.367 (0.207); 0.325 [0.16 - 0.61]; 0.309 (1.86)"
"15","As","Oliver Knoll","Monsoon",16,0.066,0.798,0.16,0.212,0.195,0.16,2.08,"16: 0.212 (0.195); 0.16 [0.066 - 0.798]; 0.16 (2.08)"
"16","As","Oliver Knoll","Winter",16,0.16,0.918,0.2,0.42,0.3,0.324,2.12,"16: 0.42 (0.3); 0.2 [0.16 - 0.918]; 0.324 (2.12)"
"17","As","Organ Pipe","Monsoon",12,0.066,0.904,0.16,0.32,0.289,0.233,2.23,"12: 0.32 (0.289); 0.16 [0.066 - 0.904]; 0.233 (2.23)"
"18","As","Organ Pipe","Winter",13,0.16,0.877,0.61,0.471,0.3,0.371,2.12,"13: 0.471 (0.3); 0.61 [0.16 - 0.877]; 0.371 (2.12)"
"19","As","Petrified Forest","Monsoon",12,0.066,0.606,0.16,0.18,0.143,0.149,1.85,"12: 0.18 (0.143); 0.16 [0.066 - 0.606]; 0.149 (1.85)"
"20","As","Petrified Forest","Winter",14,0.16,0.902,0.61,0.479,0.287,0.388,2.04,"14: 0.479 (0.287); 0.61 [0.16 - 0.902]; 0.388 (2.04)"
"21","Ba","Chiricahua","Monsoon",24,0.28,14,1.62,2.73,3.24,1.58,2.94,"24: 2.73 (3.24); 1.62 [0.28 - 14]; 1.58 (2.94)"
