"","analyte","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al","Monsoon",80,7.8,1410,36.8,97.9,212,48.4,2.69,"80: 97.9 (212); 36.8 [7.8 - 1410]; 48.4 (2.69)"
"2","Al","Winter",82,9.38,303,18.4,38.6,48.1,25.8,2.23,"82: 38.6 (48.1); 18.4 [9.38 - 303]; 25.8 (2.23)"
"3","As","Monsoon",80,0.066,0.904,0.16,0.244,0.208,0.183,2.09,"80: 0.244 (0.208); 0.16 [0.066 - 0.904]; 0.183 (2.09)"
"4","As","Winter",82,0.16,1.8,0.53,0.466,0.316,0.366,2.04,"82: 0.466 (0.316); 0.53 [0.16 - 1.8]; 0.366 (2.04)"
"5","Ba","Monsoon",80,0.28,68.2,2.31,3.83,7.73,2.17,2.7,"80: 3.83 (7.73); 2.31 [0.28 - 68.2]; 2.17 (2.7)"
"6","Ba","Winter",82,0.19,6.28,0.731,1.16,1.11,0.845,2.14,"82: 1.16 (1.11); 0.731 [0.19 - 6.28]; 0.845 (2.14)"
"7","Be","Monsoon",80,0.016,0.62,0.103,0.33,0.285,0.162,4.04,"80: 0.33 (0.285); 0.103 [0.016 - 0.62]; 0.162 (4.04)"
"8","Be","Winter",82,0.016,0.62,0.092,0.23,0.254,0.114,3.51,"82: 0.23 (0.254); 0.092 [0.016 - 0.62]; 0.114 (3.51)"
"9","Cd","Monsoon",80,0.0037,0.152,0.063,0.0608,0.0282,0.0529,1.86,"80: 0.0608 (0.0282); 0.063 [0.0037 - 0.152]; 0.0529 (1.86)"
"10","Cd","Winter",82,0.0037,1.12,0.027,0.066,0.137,0.0304,3.33,"82: 0.066 (0.137); 0.027 [0.0037 - 1.12]; 0.0304 (3.33)"
"11","Cr","Monsoon",80,0.111,5.25,0.205,0.447,0.667,0.282,2.36,"80: 0.447 (0.667); 0.205 [0.111 - 5.25]; 0.282 (2.36)"
"12","Cr","Winter",82,0.099,7.28,0.232,0.473,0.821,0.29,2.46,"82: 0.473 (0.821); 0.232 [0.099 - 7.28]; 0.29 (2.46)"
"13","Cu","Monsoon",80,0.585,64.8,3.1,4.6,7.48,3.26,2,"80: 4.6 (7.48); 3.1 [0.585 - 64.8]; 3.26 (2)"
"14","Cu","Winter",82,0.286,64.9,2.73,3.81,7.49,2.3,2.4,"82: 3.81 (7.49); 2.73 [0.286 - 64.9]; 2.3 (2.4)"
"15","Mn","Monsoon",80,0.35,251,4.37,9.65,28.3,4.33,3.06,"80: 9.65 (28.3); 4.37 [0.35 - 251]; 4.33 (3.06)"
"16","Mn","Winter",82,0.328,11.4,0.983,2.15,2.53,1.24,2.78,"82: 2.15 (2.53); 0.983 [0.328 - 11.4]; 1.24 (2.78)"
"17","Ni","Monsoon",80,0.0306,2.05,0.228,0.303,0.328,0.212,2.29,"80: 0.303 (0.328); 0.228 [0.0306 - 2.05]; 0.212 (2.29)"
"18","Ni","Winter",82,0.071,11.4,0.204,0.456,1.34,0.214,2.56,"82: 0.456 (1.34); 0.204 [0.071 - 11.4]; 0.214 (2.56)"
"19","Pb","Monsoon",80,0.101,2.99,0.307,0.422,0.431,0.319,2,"80: 0.422 (0.431); 0.307 [0.101 - 2.99]; 0.319 (2)"
"20","Pb","Winter",82,0.0655,1.78,0.216,0.308,0.268,0.245,1.89,"82: 0.308 (0.268); 0.216 [0.0655 - 1.78]; 0.245 (1.89)"
"21","Zn","Monsoon",80,2.97,201,9.56,13.7,22.3,10.4,1.79,"80: 13.7 (22.3); 9.56 [2.97 - 201]; 10.4 (1.79)"
"22","Zn","Winter",82,2.2,103,9.62,13.5,15.3,10.4,1.88,"82: 13.5 (15.3); 9.62 [2.2 - 103]; 10.4 (1.88)"
