"","analyte","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al",162,7.8,1410,30,67.9,155,35.1,2.59,"162: 67.9 (155); 30 [7.8 - 1410]; 35.1 (2.59)"
"2","As",162,0.066,1.8,0.2,0.356,0.289,0.26,2.23,"162: 0.356 (0.289); 0.2 [0.066 - 1.8]; 0.26 (2.23)"
"3","Ba",162,0.19,68.2,1.22,2.48,5.64,1.35,2.72,"162: 2.48 (5.64); 1.22 [0.19 - 68.2]; 1.35 (2.72)"
"4","Be",162,0.016,0.62,0.092,0.28,0.274,0.136,3.8,"162: 0.28 (0.274); 0.092 [0.016 - 0.62]; 0.136 (3.8)"
"5","Cd",162,0.0037,1.12,0.063,0.0634,0.0994,0.0399,2.71,"162: 0.0634 (0.0994); 0.063 [0.0037 - 1.12]; 0.0399 (2.71)"
"6","Cr",162,0.099,7.28,0.222,0.46,0.747,0.286,2.4,"162: 0.46 (0.747); 0.222 [0.099 - 7.28]; 0.286 (2.4)"
"7","Cu",162,0.286,64.9,3.1,4.2,7.47,2.73,2.25,"162: 4.2 (7.47); 3.1 [0.286 - 64.9]; 2.73 (2.25)"
"8","Mn",162,0.328,251,2.46,5.85,20.2,2.3,3.45,"162: 5.85 (20.2); 2.46 [0.328 - 251]; 2.3 (3.45)"
"9","Ni",162,0.0306,11.4,0.21,0.38,0.981,0.213,2.42,"162: 0.38 (0.981); 0.21 [0.0306 - 11.4]; 0.213 (2.42)"
"10","Pb",162,0.0655,2.99,0.254,0.364,0.362,0.279,1.97,"162: 0.364 (0.362); 0.254 [0.0655 - 2.99]; 0.279 (1.97)"
"11","Zn",162,2.2,201,9.6,13.6,19,10.4,1.83,"162: 13.6 (19); 9.6 [2.2 - 201]; 10.4 (1.83)"
