"","analyte","community","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al","Dewey-Humboldt",53,11,634,27.2,63.2,106,36.2,2.43,"53: 63.2 (106); 27.2 [11 - 634]; 36.2 (2.43)"
"2","Al","Globe/Miami",123,13,5210,52.8,255,783,71.2,3.37,"123: 255 (783); 52.8 [13 - 5210]; 71.2 (3.37)"
"3","Al","Hayden/Winkelman",88,3.82,746,39,74.2,112,44,2.51,"88: 74.2 (112); 39 [3.82 - 746]; 44 (2.51)"
"4","Al","Tucson",307,1.54,943,31.7,53.2,77.2,36.2,2.17,"307: 53.2 (77.2); 31.7 [1.54 - 943]; 36.2 (2.17)"
"5","As","Dewey-Humboldt",53,0.154,14.1,0.99,1.71,2.63,1.02,2.56,"53: 1.71 (2.63); 0.99 [0.154 - 14.1]; 1.02 (2.56)"
"6","As","Globe/Miami",123,0.16,7.42,0.92,1.1,0.976,0.829,2.13,"123: 1.1 (0.976); 0.92 [0.16 - 7.42]; 0.829 (2.13)"
"7","As","Hayden/Winkelman",88,0.139,120,2.67,6.8,14.2,3.13,3.2,"88: 6.8 (14.2); 2.67 [0.139 - 120]; 3.13 (3.2)"
"8","As","Tucson",307,0.108,13.7,0.963,1.34,1.62,0.931,2.21,"307: 1.34 (1.62); 0.963 [0.108 - 13.7]; 0.931 (2.21)"
"9","Ba","Dewey-Humboldt",53,0.314,76.2,4.41,8.74,12.2,4.82,2.97,"53: 8.74 (12.2); 4.41 [0.314 - 76.2]; 4.82 (2.97)"
"10","Ba","Globe/Miami",123,0.412,138,11.5,16,17.3,10.5,2.58,"123: 16 (17.3); 11.5 [0.412 - 138]; 10.5 (2.58)"
"11","Ba","Hayden/Winkelman",88,0.226,204,18.1,30.9,39.7,16,3.61,"88: 30.9 (39.7); 18.1 [0.226 - 204]; 16 (3.61)"
"12","Ba","Tucson",307,0.119,86.1,10.3,14.7,13.7,10.1,2.64,"307: 14.7 (13.7); 10.3 [0.119 - 86.1]; 10.1 (2.64)"
"13","Be","Dewey-Humboldt",53,0.0016,0.124,0.0221,0.0309,0.0268,0.0194,2.96,"53: 0.0309 (0.0268); 0.0221 [0.0016 - 0.124]; 0.0194 (2.96)"
"14","Be","Globe/Miami",123,0.0025,1.69,0.04,0.107,0.268,0.0406,3.15,"123: 0.107 (0.268); 0.04 [0.0025 - 1.69]; 0.0406 (3.15)"
"15","Be","Hayden/Winkelman",88,0.00063,1.4,0.0212,0.0458,0.15,0.0196,3.23,"88: 0.0458 (0.15); 0.0212 [0.00063 - 1.4]; 0.0196 (3.23)"
"16","Be","Tucson",307,0.00063,0.511,0.018,0.028,0.0371,0.0176,2.78,"307: 0.028 (0.0371); 0.018 [0.00063 - 0.511]; 0.0176 (2.78)"
"17","Cd","Dewey-Humboldt",53,0.0061,1.38,0.0268,0.0731,0.196,0.031,2.85,"53: 0.0731 (0.196); 0.0268 [0.0061 - 1.38]; 0.031 (2.85)"
"18","Cd","Globe/Miami",123,0.0071,11.7,0.12,0.848,2.13,0.179,4.58,"123: 0.848 (2.13); 0.12 [0.0071 - 11.7]; 0.179 (4.58)"
"19","Cd","Hayden/Winkelman",88,0.00528,4.65,0.235,0.543,0.8,0.243,3.8,"88: 0.543 (0.8); 0.235 [0.00528 - 4.65]; 0.243 (3.8)"
"20","Cd","Tucson",307,0.00652,0.66,0.0533,0.0771,0.076,0.0561,2.18,"307: 0.0771 (0.076); 0.0533 [0.00652 - 0.66]; 0.0561 (2.18)"
"21","Cr","Dewey-Humboldt",53,0.0732,86,0.409,2.35,11.8,0.477,3.41,"53: 2.35 (11.8); 0.409 [0.0732 - 86]; 0.477 (3.41)"
"22","Cr","Globe/Miami",123,0.011,10.6,0.305,0.737,1.38,0.331,3.43,"123: 0.737 (1.38); 0.305 [0.011 - 10.6]; 0.331 (3.43)"
"23","Cr","Hayden/Winkelman",88,0.057,171,0.331,2.67,18.2,0.381,3.39,"88: 2.67 (18.2); 0.331 [0.057 - 171]; 0.381 (3.39)"
"24","Cr","Tucson",307,0.011,52.4,0.344,1.12,4.27,0.386,3.05,"307: 1.12 (4.27); 0.344 [0.011 - 52.4]; 0.386 (3.05)"
"25","Cu","Dewey-Humboldt",53,0.238,133,7.46,15,23.8,6.58,3.88,"53: 15 (23.8); 7.46 [0.238 - 133]; 6.58 (3.88)"
"26","Cu","Globe/Miami",123,0.921,2740,24.1,98.5,302,30.1,3.81,"123: 98.5 (302); 24.1 [0.921 - 2740]; 30.1 (3.81)"
"27","Cu","Hayden/Winkelman",88,0.469,3160,65.5,152,363,56.2,4.42,"88: 152 (363); 65.5 [0.469 - 3160]; 56.2 (4.42)"
"28","Cu","Tucson",307,0.224,906,17.8,38,79.3,18.7,3.16,"307: 38 (79.3); 17.8 [0.224 - 906]; 18.7 (3.16)"
"29","Mn","Dewey-Humboldt",53,0.13,313,4.05,20.4,53.4,4.26,5.48,"53: 20.4 (53.4); 4.05 [0.13 - 313]; 4.26 (5.48)"
"30","Mn","Globe/Miami",123,0.149,612,11,49.5,95.6,11.9,6.11,"123: 49.5 (95.6); 11 [0.149 - 612]; 11.9 (6.11)"
"31","Mn","Hayden/Winkelman",88,0.168,248,8.58,16.7,31.1,7.26,4,"88: 16.7 (31.1); 8.58 [0.168 - 248]; 7.26 (4)"
