"","analyte","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al","Winter",397,1.54,4760,33.5,92.8,356,40.3,2.55,"397: 92.8 (356); 33.5 [1.54 - 4760]; 40.3 (2.55)"
"2","Al","Monsoon",174,10.3,5210,39.2,119,428,50.4,2.69,"174: 119 (428); 39.2 [10.3 - 5210]; 50.4 (2.69)"
"3","As","Winter",397,0.108,22,0.911,1.43,2.01,0.901,2.45,"397: 1.43 (2.01); 0.911 [0.108 - 22]; 0.901 (2.45)"
"4","As","Monsoon",174,0.34,120,1.38,3.83,10.4,1.75,2.68,"174: 3.83 (10.4); 1.38 [0.34 - 120]; 1.75 (2.68)"
"5","Ba","Winter",397,0.119,126,8.53,12.6,14.5,7.98,2.83,"397: 12.6 (14.5); 8.53 [0.119 - 126]; 7.98 (2.83)"
"6","Ba","Monsoon",174,0.556,204,18.9,26.8,29.9,18.1,2.46,"174: 26.8 (29.9); 18.9 [0.556 - 204]; 18.1 (2.46)"
"7","Be","Winter",397,0.00063,1.69,0.0329,0.049,0.15,0.0211,3.32,"397: 0.049 (0.15); 0.0329 [0.00063 - 1.69]; 0.0211 (3.32)"
"8","Be","Monsoon",174,0.0017,1.36,0.0186,0.0455,0.127,0.0229,2.57,"174: 0.0455 (0.127); 0.0186 [0.0017 - 1.36]; 0.0229 (2.57)"
"9","Cd","Winter",397,0.00528,11.7,0.0623,0.278,1.09,0.076,3.41,"397: 0.278 (1.09); 0.0623 [0.00528 - 11.7]; 0.076 (3.41)"
"10","Cd","Monsoon",174,0.011,10.1,0.0864,0.397,1.08,0.112,4.06,"174: 0.397 (1.08); 0.0864 [0.011 - 10.1]; 0.112 (4.06)"
"11","Cr","Winter",397,0.011,86,0.279,0.847,4.49,0.306,3.08,"397: 0.847 (4.49); 0.279 [0.011 - 86]; 0.306 (3.08)"
"12","Cr","Monsoon",174,0.071,171,0.524,2.62,14,0.623,3.07,"174: 2.62 (14); 0.524 [0.071 - 171]; 0.623 (3.07)"
"13","Cu","Winter",397,0.224,3160,18.5,59.2,202,19.4,4.04,"397: 59.2 (202); 18.5 [0.224 - 3160]; 19.4 (4.04)"
"14","Cu","Monsoon",174,1.09,2740,26.4,83.2,233,30.4,3.65,"174: 83.2 (233); 26.4 [1.09 - 2740]; 30.4 (3.65)"
"15","Mn","Winter",397,0.0668,612,3.4,13.1,45.3,3.61,4.23,"397: 13.1 (45.3); 3.4 [0.0668 - 612]; 3.61 (4.23)"
"16","Mn","Monsoon",174,0.231,471,21.3,51.8,79.4,18,5.1,"174: 51.8 (79.4); 21.3 [0.231 - 471]; 18 (5.1)"
"17","Ni","Winter",397,0.0571,466,0.548,3.04,26.1,0.648,2.85,"397: 3.04 (26.1); 0.548 [0.0571 - 466]; 0.648 (2.85)"
"18","Ni","Monsoon",174,0.175,68.8,1.35,2.68,5.81,1.52,2.49,"174: 2.68 (5.81); 1.35 [0.175 - 68.8]; 1.52 (2.49)"
"19","Pb","Winter",397,0.013,350,0.572,2.49,17.9,0.606,3.9,"397: 2.49 (17.9); 0.572 [0.013 - 350]; 0.606 (3.9)"
"20","Pb","Monsoon",174,0.0142,264,0.882,4.74,21.1,0.954,5.03,"174: 4.74 (21.1); 0.882 [0.0142 - 264]; 0.954 (5.03)"
"21","Zn","Winter",397,1.4,13300,81,314,985,89.9,4.24,"397: 314 (985); 81 [1.4 - 13300]; 89.9 (4.24)"
"22","Zn","Monsoon",174,5.74,12700,113,599,1680,125,5.06,"174: 599 (1680); 113 [5.74 - 12700]; 125 (5.06)"
