"","analyte","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al",571,1.54,5210,35.6,101,380,43.1,2.6,"571: 101 (380); 35.6 [1.54 - 5210]; 43.1 (2.6)"
"2","As",571,0.108,120,1.02,2.16,6.08,1.1,2.65,"571: 2.16 (6.08); 1.02 [0.108 - 120]; 1.1 (2.65)"
"3","Ba",571,0.119,204,10.8,16.9,21.4,10.2,2.91,"571: 16.9 (21.4); 10.8 [0.119 - 204]; 10.2 (2.91)"
"4","Be",571,0.00063,1.69,0.0242,0.048,0.143,0.0216,3.09,"571: 0.048 (0.143); 0.0242 [0.00063 - 1.69]; 0.0216 (3.09)"
"5","Cd",571,0.00528,11.7,0.0681,0.314,1.09,0.0854,3.64,"571: 0.314 (1.09); 0.0681 [0.00528 - 11.7]; 0.0854 (3.64)"
"6","Cr",571,0.011,171,0.343,1.39,8.6,0.38,3.22,"571: 1.39 (8.6); 0.343 [0.011 - 171]; 0.38 (3.22)"
"7","Cu",571,0.224,3160,20.2,66.5,212,22.3,3.98,"571: 66.5 (212); 20.2 [0.224 - 3160]; 22.3 (3.98)"
"8","Mn",571,0.0668,612,4.65,24.9,60.5,5.89,5.33,"571: 24.9 (60.5); 4.65 [0.0668 - 612]; 5.89 (5.33)"
"9","Ni",571,0.0571,466,0.705,2.93,22,0.841,2.95,"571: 2.93 (22); 0.705 [0.0571 - 466]; 0.841 (2.95)"
"10","Pb",571,0.013,350,0.616,3.18,19,0.696,4.29,"571: 3.18 (19); 0.616 [0.013 - 350]; 0.696 (4.29)"
"11","Zn",571,1.4,13300,89.4,401,1250,99.3,4.51,"571: 401 (1250); 89.4 [1.4 - 13300]; 99.3 (4.51)"
